,Spanish,German,Japanese,Korean
_MainHueALCTEnabled,<size=13><b>Cambio de tono del AudioLink </b></size>,<size=13><b>Hue Shift Audio Link</b></size>,<size=13><b> ぼかしシフト・オーディオリンク</b></size>,<size=13><b>색조 시프트 오디오 링크</b></size>
_MainALHueShiftBand,Banda,Band,バンド,밴드
_MainALHueShiftCTIndex,Tipo de movimiento,Bewegungstyp,モーションタイプ,모션 타입
_MainHueALMotionSpeed,Velocidad de movimiento,Bewegungsgeschwindigkeit,モーションスピード,모션 속도
m_start_MainHueShiftGlobalMask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
_MainHueGlobalMask,Tono,Farbton,ぼかし,색조
_MainHueGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_MainSaturationGlobalMask,Saturación,Sättigung,色調,채도
_MainSaturationGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_MainBrightnessGlobalMask,Brillo,Helligkeit,明るさ,밝기
_MainBrightnessGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
m_end_MainHueShiftGlobalMask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
m_end_MainHueShift,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
m_start_Alpha,Opciones alfa,Alpha-Optionen,アルファ オプション,알파 옵션
_AlphaForceOpaque,Forzar opacidad,Undurchsichtig erzwingen,不透明を強制,불투명 강제
_AlphaMod,Modo alfa,Alpha-Mod,透明度,알파 모드
_AlphaPremultiply,Alfa premultiplicativo,Alpha-Vormultiplikation,アルファ事前乗算,알파 미리 곱하기
_AlphaBoostFA,Aumentar transparencia en pasada de adición directa (ForwardAdd),Erhöhen Sie die Transparenz in ForwardAdd,ForwardAdd で透明性を高める,ForwardAdd에서 투명도 높이기
_AlphaToCoverage,<size=13><b>Alfa a cobertura (A2C) </b></size>,<size=13><b> Alpha bis Abdeckung</b></size>,<size=13><b>アルファを範囲に使用する</b></size>,<size=13><b>알파 대 커버리지</b></size>
_AlphaSharpenedA2C,Alfa a cobertura nítido,A2C geschärft,鮮明なA2C,선명한 A2C
_AlphaMipScale,Escala alfa por nivel de Mipmap,Mip-Level-Alpha-Skala,ミップ レベル アルファ スケール,밉 레벨 알파 스케일
_AlphaDithering,<size=13><b>Tramado (Dithering) </b></size>,<size=13><b>Dithering</b></size>,<size=13><b>ディザリング</b></size>,<size=13><b>디더링</b></size>
_AlphaDitherGradient,Gradiente de tramado,Dither-Gradient,ディザグラデーション,디더 그라데이션
_AlphaDistanceFade,<size=13><b>Atenuación alfa por distancia </b></size>,<size=13><b> Abstand Alpha</b></size>,<size=13><b>距離アルファ</b></size>,<size=13><b>거리 알파</b></size>
_AlphaDistanceFadeType,Posición a usar,Zu verwendende Position,使用する位置,사용할 위치
_AlphaDistanceFadeMinAlpha,Alfa mínimo por distancia,Mindestabstand Alpha,最小距離アルファ,최소 거리 알파
_AlphaDistanceFadeMaxAlpha,Alfa máximo por distancia,Maximale Entfernung Alpha,最大距離アルファ,최대 거리 알파
_AlphaDistanceFadeMin,Distancia mínima,Mindestabstand,最小距離,최소 거리
_AlphaDistanceFadeMax,Distancia máxima,Maximale Entfernung,最大距離,최대 거리
_AlphaFresnel,<size=13><b>Alfa de Fresnel </b></size>,<size=13><b>Fresnel-Alpha</b></size>,<size=13><b> フレネル アルファ</b></size>,<size=13><b>프레넬 알파</b></size>
_AlphaFresnelAlpha,Intensidad,Intensität,強さ,강도
_AlphaFresnelSharpness,Nitidez,Schärfe,鮮明さ,선명도
_AlphaFresnelWidth,Ancho,Breite,幅,너비
_AlphaFresnelInvert,Invertir,Umkehren,反転,반전
_AlphaAngular,<size=13><b>Alfa angular </b></size>,<size=13><b>Angular Alpha</b></size>,<size=13><b>角度のあるアルファ</b></size>,<size=13><b>각도 알파</b></size>
_AngleType,Tipo de ángulo,Winkeltyp,アングルタイプ,각도 유형
_AngleCompareTo,Comparar con modelo o posición de vértice,Modell oder vertikale Position,モデルまたは頂点位置,모델 또는 수직 위치
_AngleForwardDirection,Dirección frontal,Vorwärtsrichtung,順方向,전방
_CameraAngleMin,Ángulo mínimo de cámara,Kamerawinkel min,カメラアングル最小,카메라 각도 최소
_CameraAngleMax,Ángulo máximo de cámara,Kamerawinkel max,カメラアングル最大,카메라 각도 최대
_ModelAngleMin,Ángulo mínimo de modelo,Modell Winkel min,モデル角度最小,모델 각도 최소
_ModelAngleMax,Ángulo máximo de modelo,Modell Winkel max,モデル角度最大,모델 각도 최대
_AngleMinAlpha,Alfa mínimo,Min-Alpha,最小アルファ,최소 알파
_AlphaAudioLinkEnabled,<size=13><b>Alfa del AudioLink </b></size>,<size=13><b> Alpha-Audio-Link</b></size>,<size=13><b>アルファ・オーディオリンク</b></size>,<size=13><b>알파 오디오 링크</b></size>
_AlphaAudioLinkAddBand,Banda de suma,Band hinzufügen,バンドを追加,밴드 추가
_AlphaAudioLinkAddRange,Rango de suma,Bereich hinzufügen,範囲を追加,범위 추가
m_start_AlphaGlobalMask,Máscara global alfa,Globale Maske,グローバル マスク,글로벌 마스크
_AlphaGlobalMask,Alfa,Alpha,アルファ,알파
_AlphaGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
m_end_AlphaGlobalMask,Máscara global alfa,Globale Maske,グローバル マスク,글로벌 마스크
m_end_Alpha,Opciones alfa,Alpha-Optionen,アルファ オプション,알파 옵션
m_start_DetailOptions,Opciones del detalle,Einzelheiten,ディテール,디테일
_DetailEnabled,Activar detalles,Aktivieren,有効,활성화
_DetailMask,Máscara del detalle (Expandir),Detailmaske (Erweitern),ディテールマスク (拡張),디테일 마스크 (확장)
_DetailMaskPan,Barrido,Schwenken,パンニング,패닝
_DetailMaskUV,UV,UV,UV,UV
_DetailTint,Tinte del detalle,Detail-Textur-Tönung,ディテールテクスチャの色,디테일 텍스처 틴트
_DetailMaskStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_DetailTex,Textura del detalle,Detail-Textur,ディテールテクスチャ,디테일 텍스처
_DetailTexPan,Barrido,Schwenken,パンニング,패닝
_DetailTexUV,UV,UV,UV,UV
_DetailTexStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_DetailTexIntensity,Intensidad de la textura del detalle,Detail Tex-Intensität,ディテールテクスチャの透明度の調整,디테일 텍스처 강도
_DetailBrightness,Brillo del detalle:,Detailhelligkeit:,ディテール輝度:,디테일 밝기:
_DetailNormalMap,Mapa de normales del detalle,Details Normal,ディティールノーマル,디테일 노멀
_DetailNormalMapScale,Intensidad del mapa de normales del detalle,Detail Normale Intensität,ディテールノーマル(法線)の大きさ,디테일 노멀 강도
_DetailNormalMapPan,Barrido,Schwenken,パンニング,패닝
_DetailNormalMapUV,UV,UV,UV,UV
_DetailNormalMapStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
m_end_DetailOptions,Opciones del detalle,Einzelheiten,ディテール,디테일
m_start_vertexManipulation,Manipulación de vértices,Vertex-Optionen,頂点オプション,버텍스 옵션
_VertexManipulationsEnabled,Activar manipulación de vértices,Ermöglicht,有効,활성화됨
_VertexManipulationLocalTranslation,Traslación local,Lokale Übersetzung,ローカルトランスレーション,로컬 변환
_VertexManipulationLocalRotation,Rotación local,Lokale Rotation,ローカルローテーション,로컬 회전
_VertexManipulationLocalRotationSpeed,Velocidad de rotación local,Lokale Rotationsgeschwindigkeit,ローカル回転速度,로컬 회전 속도
_VertexManipulationLocalScale,Escala local,Lokale Skala,ローカル スケール,로컬 스케일
_VertexManipulationWorldTranslation,Traslación global,Weltübersetzung,ワールド基準でメッシュを移動,월드 변환
_VertexManipulationHeight,Altura de vértice,Scheitelhöhe,頂点の高さ,버텍스 높이
_VertexManipulationHeightMask,Mapa de altura,Höhenkarte,ハイトマップ,높이 맵
_VertexManipulationHeightMaskPan,Barrido,Schwenken,パンニング,패닝
_VertexManipulationHeightMaskUV,UV,UV,UV,UV
_VertexManipulationHeightMaskChannel,Canal,Kanal,チャンネル,채널
_VertexManipulationHeightBias,Máscara de sesgo,Maskenverzerrung,マスクの傾き,마스크 바이어스
_VertexRoundingEnabled,Activar redondeo de vértices,Rundung aktiviert,丸める,라운딩 활성화
_VertexRoundingSpace,Espacio de redondeo,Rundungsraum,丸めるスペース,라운딩 공간
_VertexRoundingDivision,Intervalo de redondeo,Rundungsintervall,丸める間隔,라운딩 간격
_VertexBarrelMode,<size=13><b>Modo del barril </b></size>,<size=13><b>Fassmodus</b></size>,<size=13><b>バレルモード</b></size>,<size=13><b>배럴 모드</b></size>
_VertexBarrelWidth,Ancho del barril,Fassbreite,バレル幅,배럴 너비
_VertexBarrelAlpha,Alfa del barril,Barrel Alpha,バレルアルファ,배럴 알파
_VertexBarrelHeight,Altura del barril,Laufhöhe,バレルの高さ,배럴 높이
_VertexAudioLinkEnabled,<size=13><b>AudioLink de los vértices </b></size>,<size=13><b>Audiolink</b></size>,<size=13><b>オーディオリンク</b></size>,<size=13><b>오디오링크</b></size>
_VertexLocalTranslationALBand,Banda de traslación local,Lokale Übersetzungsband,ローカル変換バンド,로컬 변환 밴드
_VertexLocalTranslationALMin,Traslación local mínima,Lokale Übersetzung Min,ローカル翻訳分,로컬 변환 최소
_VertexLocalTranslationALMax,Traslación local máxima,Lokale Übersetzung max,ローカル変換最大,로컬 변환 최대
_VertexLocalRotationALBandX,Banda de rotación X,Rotationsband X,回転バンド X,회전 밴드 X
_VertexLocalRotationALBandY,Banda de rotación Y,Rotationsband Y,回転バンド Y,회전 밴드 Y
_VertexLocalRotationALBandZ,Banda de rotación Z,Rotationsband Z,回転バンド Z,회전 밴드 Z
_VertexLocalRotationAL,Rotación,Drehung,回転,회전
_VertexLocalRotationCTALBandX,Banda X,Band X,バンド X,밴드 X
_VertexLocalRotationCTALTypeX,Tipo de movimiento X,Bewegungstyp X,モーションタイプX,모션 타입 X
_VertexLocalRotationCTALBandY,Banda Y,Band Y,バンド Y,밴드 Y
_VertexLocalRotationCTALTypeY,Tipo de movimiento Y,Bewegungstyp Y,モーションタイプY,모션 타입 Y
_VertexLocalRotationCTALBandZ,Banda Z,Band z,バンド Z,밴드 Z
_VertexLocalRotationCTALTypeZ,Tipo de movimiento Z,Bewegungstyp Z,モーションタイプZ,모션 타입 Z
_VertexLocalRotationCTALSpeed,Velocidad de rotación,Drehgeschwindigkeit,回転速度,회전 속도
_VertexLocalScaleALBand,Banda de escala,Skalenband,スケールバンド,스케일 밴드
_VertexLocalScaleALMin,Escala mínima,Maßstab min,最小スケール,스케일 최소
_VertexLocalScaleALMax,Escala máxima,Maßstab max,最大スケール,스케일 최대
_VertexWorldTranslationALBand,Banda de traslación global,Weltübersetzungsband,世界翻訳バンド,월드 변환 밴드
_VertexWorldTranslationALMin,Traslación global mínima,Weltübersetzung Mind,ワールド翻訳分,월드 변환 최소
_VertexWorldTranslationALMax,Traslación global máxima,Weltübersetzung max,最大ワールドトランスレーション,월드 변환 최대
_VertexManipulationHeightBand,Banda de altura de vértices,Scheitelhöhenband,頂点高さバンド,버텍스 높이 밴드
_VertexManipulationHeightAL,Altura de vértice,Scheitelhöhe,頂点の高さ,버텍스 높이
_VertexRoundingRangeBand,Banda de redondeo,Rundungsband,丸めるバンド,라운딩 밴드
_VertexRoundingRangeAL,Rango de redondeo,Rundungsbereich,丸め範囲,라운딩 범위
m_end_vertexManipulation,Manipulación de vértices,Vertex-Offset,頂点Offset,버텍스 오프셋
m_start_vertexGlitching,Fallos de vértices (Vertex Glitching),Vertex-Glitch,頂点グリッチ,버텍스 글리치
_VertexGlitchingEnabled,Activar fallo,Ermöglicht,有効,활성화됨
_VertexGlitchingUseTexture,<size=13><b>Usar textura </b></size>,<size=13><b>Textur verwenden</b></size>,<size=13><b>テクスチャを使用</b></size>,<size=13><b>텍스처 사용</b></size>
_VertexGlitchMap,Mapa de fallos (Expandir),Glitch-Karte ],グリッチマップ (展開),글리치 맵 ]
_VertexGlitchDensity,Densidad de fallos,Glitch-Dichte,グリッチ密度,글리치 밀도
_VertexGlitchMapPanSpeed,Velocidad del barrido del mapa de fallos,Glitch Map Pan-Geschwindigkeit,グリッチ マップのパン速度,글리치 맵 팬 속도
_VertexGlitchFrequency,Frecuencia de fallo,Glitch-Intervall,グリッチ間隔,글리치 간격
_VertexGlitchThreshold,Umbral de fallo,Glitch-Schwellenwert,グリッチしきい値,글리치 임계값
_VertexGlitchStrength,Intensidad de fallo,Glitch-Stärke,グリッチの強さ,글리치 강도
_VertexGlitchMirrorEnable,<size=13><b>Espejo </b></size>,<size=13><b>Spiegel</b></size>,<size=13><b>鏡</b></size>,<size=13><b>거울</b></size>
_VertexGlitchMirror,Mostrar en espejo,Im Spiegel zeigen,ミラーに映す,거울에 보이기
_VertexGlitchingAudioLinkEnabled,<size=13><b>AudioLink </b></size>,<size=13><b>Audiolink</b></size>,<size=13><b>オーディオリンク</b></size>,<size=13><b>오디오링크</b></size>
_VertexGlitchingAudioLinkBand,Banda de fallo,Glitch-Band,グリッチバンド,글리치 밴드
_VertexGlitchingAudiolinkOverride,Anular la intensidad de fallos con Audiolink,Überschreiben Sie die Glitch-Intensität mit Audiolink,Audiolink でグリッチの強さを無視する,오디오링크로 글리치 강도 덮어쓰기
m_end_vertexGlitching,Fallos de vértices (Vertex Glitching),Vertex-Glitch,頂点グリッチ,버텍스 글리치
m_start_MainVertexColors,Colores de vértices,Scheitelpunktfarben,頂点の色,버텍스 색상
_MainVertexColoringEnabled,Activar colores de vértices,Aktivieren,有効,활성화
_MainVertexColoringLinearSpace,Colores en espacio lineal,Lineare Farben,リニア色空間,선형 색상
_MainVertexColoring,Usar color de vértices,Vertexfarbe verwenden,頂点カラーを使用,버텍스 색상 사용
_MainUseVertexColorAlpha,Usar alfa del color de vértices,Vertex Color Alpha verwenden,頂点カラー アルファを使用,버텍스 색상 알파 사용
m_end_MainVertexColors,Colores de vértices,Scheitelpunktfarben,頂点の色,버텍스 색상
m_start_backFace,Cara trasera,Rückfläche,バックフェイス,뒷면
_BackFaceEnabled,Activar cara trasera,Rückseite aktiviert,背面有効,뒷면 활성화됨
_BackFaceColor,Color,Farbe,色,색상
_BackFaceEmissionStrength,Intensidad de la emisión,Emissionsstärke,裏面の発光の強さ,뒷면 방출 강도
_BackFaceTexture,Textura,Textur,テクスチャ,텍스처
_BackFaceTexturePan,Barrido,Schwenken,パンニング,패닝
_BackFaceTextureUV,UV,UV#,UV#,UV#
_BackFaceMask,Máscara,Maske,マスク,마스크
_BackFaceMaskPan,Barrido,Schwenken,パンニング,패닝
_BackFaceMaskUV,UV,UV#,UV#,UV#
_BackFaceMaskChannel,Canal,Kanal,チャンネル,채널
_BackFaceDetailIntensity,Intensidad del detalle,Detailintensität,ディテールの明るさ,디테일 강도
_BackFaceReplaceAlpha,Reemplazar alfa,Alpha ersetzen,アルファを置換,알파 교체
_BackFaceEmissionLimiter,Limitador de la emisión,Emissionsbegrenzer,発光の制限,방출 제한기
_BackFaceHueShiftEnabled,<size=13><b>Cambio de tono </b></size>,<size=13><b>Farbtonverschiebung</b></size>,<size=13><b>ぼかしシフト</b></size>,<size=13><b>색조 시프트</b></size>
_BackFaceHueShift,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
_BackFaceHueShiftSpeed,Velocidad del cambio,Farbtonverschiebungsgeschwindigkeit,ぼかしシフト速度,색조 시프트 속도
m_end_backFace,Cara trasera,Rückfläche,バックフェイス,뒷면
m_start_RGBMask,Máscara de color RGB,RGBA-Farbmaskierung,RGBA カラーマスキング,RGBA 색상 마스킹
_RGBMaskEnabled,Activar Máscara RGB,RGB-Maske aktiviert,RGB マスク有効,RGB 마스크 활성화됨
_RGBUseVertexColors,Usar colores de vértices,Verwenden Sie Scheitelpunktfarben,頂点カラーを使用,버텍스 색상 사용
_RGBBlendMultiplicative,Multiplicativo,Multiplikativ,乗算合成,곱하기
_RGBMask,Máscara RGB,Maske,マスク,마스크
_RGBMaskPan,Barrido,Schwenken,パンニング,패닝
_RGBMaskUV,UV,UV,UV,UV
m_start_RGBAColors,Colores RGBA,Farben,色,색상
_RedColor,Color del canal R,R-Farbe,R カラー,R 색상
_RedTexture,Textura del canal R,R-Textur,R テクスチャ,R 텍스처
_RedTexturePan,Barrido,Schwenken,パンニング,패닝
_RedTextureUV,UV,UV,UV,UV
_RedTextureStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_RedAlphaAdd,Suma alfa del canal R,R Alpha-Add,Rアルファ追加,R 알파 추가
_GreenColor,Color del canal G,G-Farbe,G カラー,G 색상
_GreenTexture,Textura del canal G,G-Textur,G テクスチャ,G 텍스처
_GreenTexturePan,Barrido,Schwenken,パンニング,패닝
_GreenTextureUV,UV,UV,UV,UV
_GreenTextureStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_GreenAlphaAdd,Suma alfa del canal G,G-Alpha-Add,G アルファ追加,G 알파 추가
_BlueColor,Color del canal B,B-Farbe,B カラー,B 색상
_BlueTexture,Textura del canal B,B-Textur,B テクスチャー,B 텍스처
_BlueTexturePan,Barrido,Schwenken,パンニング,패닝
_BlueTextureUV,UV,UV,UV,UV
_BlueTextureStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_BlueAlphaAdd,Suma alfa del canal B,B Alpha-Add,Bアルファ加算,B 알파 추가
_AlphaColor,Color del canal A,Eine Farbe,A カラー,A 색상
_AlphaTexture,Textura del canal A,Eine Textur,テクスチャ,A 텍스처
_AlphaTexturePan,Barrido,Schwenken,パンニング,패닝
_AlphaTextureUV,UV,UV,UV,UV
_AlphaTextureStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_AlphaAlphaAdd,Suma alfa del canal A,Ein Alpha-Add,アルファ追加,A 알파 추가
m_end_RGBAColors,Colores RGBA,Farben,色,색상
m_start_rgbanormals,Normales RGBA,Normale,ノーマル(法線),노멀
_RgbNormalsEnabled,Activar normales RGBA,Normale aktivieren,ノーマル(法線)を有効にする,노멀 활성화
_RGBNormalBlend,Mezclar con la base,Mit Base verblenden,ベースとブレンド,베이스와 블렌드
_RgbNormalR,Normal del canal R,R Normal,Rノーマル,R 노멀
_RgbNormalRPan,Barrido,Pfanne,パン,팬
_RgbNormalRUV,UV,UV,UV,UV
_RgbNormalRStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_RgbNormalRScale,Intensidad,Intensität,強さ,강도
_RgbNormalG,Normal del canal G,G Normal,Gノーマル,G 노멀
_RgbNormalGPan,Barrido,Pfanne,パン,팬
_RgbNormalGUV,UV,UV,UV,UV
_RgbNormalGStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_RgbNormalGScale,Intensidad,Intensität,強さ,강도
_RgbNormalB,Normal del canal B,B Normal,Bノーマル,B 노멀
_RgbNormalBPan,Barrido,Pfanne,パン,팬
_RgbNormalBUV,UV,UV,UV,UV
_RgbNormalBStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_RgbNormalBScale,Intensidad,Intensität,強さ,강도
_RgbNormalA,Normal del canal A,Ein normaler,Aノーマル,A 노멀
_RgbNormalAPan,Barrido,Pfanne,パン,팬
_RgbNormalAUV,UV,UV,UV,UV
_RgbNormalAStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_RgbNormalAScale,Intensidad,Intensität,強さ,강도
m_end_rgbanormals,Normales RGBA,RGBA-Normalen,RGBAノーマル(法線),RGBA 노멀
m_end_RGBMask,Máscara de color RGB,RGB-Farbmaskierung,RGB カラーマスキング,RGB 색상 마스킹
m_start_DecalSection,Calcomanías,Abziehbilder,デカール,데칼
_DecalMask,Máscara de calcomanías (RGBA),Aufkleber RGBA-Maske,デカール RGBA マスク,데칼 RGBA 마스크
_DecalMaskPan,Barrido,Schwenken,パンニング,패닝
_DecalMaskUV,UV,UV,UV,UV
_DecalTPSDepthMaskEnabled,<size=13><b>Máscara de profundidad TPS activada </b></size>,<size=13><b> TPS-Tiefe aktiviert</b></size>,<size=13><b>TPS 深度有効</b></size>,<size=13><b>TPS 깊이 활성화됨</b></size>
_Decal0TPSMaskStrength,Intensidad de la máscara (Canal R),Maske r Stärke,マスク R 強さ,마스크 R 강도
_Decal1TPSMaskStrength,Intensidad de la máscara (Canal G),Maske g Stärke,マスク G 強さ,마스크 G 강도
_Decal2TPSMaskStrength,Intensidad de la máscara (Canal B),Maske b Stärke,マスク B 強さ,마스크 B 강도
_Decal3TPSMaskStrength,Intensidad de la máscara (Canal A),Maskiere eine Stärke,マスク A 強さ,마스크 A 강도
m_start_Decal0,Calcomanía 0,Aufkleber 0,デカール 0,데칼 0
_DecalEnabled,Activar calcomanía,Aktivieren,有効,활성화
_Decal0MaskChannel,Canal de máscara,Maskenkanal,マスクチャンネル,마스크 채널
_Decal0GlobalMask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
_Decal0GlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DecalColor,Color,Farbe,色,색상
_DecalEmissionStrength,Intensidad de la emisión,Emissionsstärke,発光の強さ,방출 강도
_DecalTexture,Textura,Abziehbild,デカール,데칼
_DecalTexturePan,Barrido,Schwenken,パンニング,패닝
_DecalTextureUV,UV,UV,UV,UV
_DecalTiled,Calcomanía en mosaico,Gefliest,タイル表示,타일링
_Decal0Depth,Profundidad,Tiefe,深さ,깊이
_DecalScale,Escala,Skala,規模,스케일
_DecalSideOffset,Desplazamiento lateral,Seitenversatz,サイドオフセット,측면 오프셋
_DecalPosition,Posición,Position,位置,위치
_DecalRotation,Rotación,Drehung,回転,회전
_DecalRotationSpeed,Velocidad de rotación,Drehgeschwindigkeit,回転速度,회전 속도
_DecalBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DecalBlendAlpha,Alfa,Alpha,アルファ,알파
_DecalOverrideAlpha,Anular alfa,Alpha überschreiben,アルファを無視する,알파 덮어쓰기
_Decal0ApplyGlobalMaskIndex,Aplicar a la máscara global,Bewerben Sie sich bei Global Mask,グローバルマスクに適用,글로벌 마스크에 적용
_Decal0ApplyGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_DecalHueShiftEnabled,<size=13><b>Cambio de tono </b></size>,<size=13><b>Farbtonverschiebung</b></size>,<size=13><b>ぼかしシフト</b></size>,<size=13><b>색조 시프트</b></size>
_DecalHueShiftSpeed,Velocidad del cambio,Schaltgeschwindigkeit,シフトスピード,시프트 속도
_DecalHueShift,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
_Decal0HueAngleStrength,Intensidad del tono por ángulo,Farbwinkelleistung,角のぼかしの強さ,색조 각도 강도
_Decal0ChannelSeparationEnable,<size=13><b>Separación de canales </b></size>,<size=13><b>Kanaltrennung</b></size>,<size=13><b>チャンネル分離</b></size>,<size=13><b>채널 분리</b></size>
_Decal0ChannelSeparation,Separación,Intensität,強さ,강도
_Decal0ChannelSeparationAngleStrength,Intensidad de la separación por ángulo,Intensität des Oberflächenwinkels,表面角度の強さ,표면 각도 강도
_Decal0ChannelSeparationHue,Tono,Farbton,ぼかし,색조
_Decal0ChannelSeparationVertical,Dirección,Richtung,方向,방향
_Decal0ChannelSeparationPremultiply,Alfa premultiplicativo,Alpha vormultiplizieren,事前乗算アルファ,알파 미리 곱하기
m_start_Decal0AudioLink,AudioLink ♫,Audiolink ♫,オーディオリンク♫,오디오링크 ♫
_AudioLinkDecal0ScaleBand,Banda de escala,Skalenband,スケールバンド,스케일 밴드
_AudioLinkDecal0Scale,Modificador de escala,Skalen-Mod,スケールモッド,스케일 모드
_AudioLinkDecal0SideBand,Banda lateral,Seitenband,サイドバンド,측면 밴드
_AudioLinkDecal0SideMin,Lateral mínimo,Seite zu min,横から最小,측면 최소
_AudioLinkDecal0SideMax,Lateral máximo,Seitenmod max,サイド モッド 最大,측면 모드 최대
_AudioLinkDecal0RotationBand,Banda de rotación,Rotationsband,回転バンド,회전 밴드
_AudioLinkDecal0Rotation,Modificador de rotación,Rotationsmod,ローテーション・モッド,회전 모드
_AudioLinkDecal0AlphaBand,Banda alfa,Alphaband,アルファバンド,알파 밴드
_AudioLinkDecal0Alpha,Modificador alfa,Alpha-Mod,アルファモッド,알파 모드
